StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,att_1,att_2,prolific_id,value_1_1,value_2_1,mourn_1_1,mourn_2_1,identity_stability_1_1,identity_stability_2_1,app_improvement_1,comp_1,age,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,edu,edu_8_TEXT,ai_companion_app,gender_rep,relationship_rep,months_rep,hours_rep,subscription_rep,PROLIFIC_PID,change_type,change_prompt
2024-10-07 12:49:19,2024-10-07 12:57:21,0,100,481,1,2024-10-07 12:57:22,R_11zvWgvV6OlzSSu,anonymous,EN,0.30000001192092896,1,2,2,Anonymized,34,91,70,57,79,72,97,3,29,2,NA,3,NA,4,NA,AI,2,1,24,5,2,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 12:53:57,2024-10-07 12:57:38,0,100,220,1,2024-10-07 12:57:38,R_1CgAcjlreNOP4Bz,anonymous,EN,0.800000011920929,1,2,2,Anonymized,74,5,0,0,56,10,91,3,24,2,NA,2,NA,4,NA,Character ai,1,1,4,5,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 12:57:43,2024-10-07 12:59:48,0,100,125,1,2024-10-07 12:59:48,R_3eOYhWrl9w1ZO7b,anonymous,EN,1,1,2,2,Anonymized,70,60,0,0,70,30,70,3,19,2,NA,3,NA,3,NA,ChatGPT,3,1,12,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 12:58:06,2024-10-07 13:00:21,0,100,134,1,2024-10-07 13:00:21,R_6dVj9Lw1YZSC2uR,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,0,0,88,1,25,2,NA,3,NA,8,,chatgpt,1,4,3,1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 12:56:06,2024-10-07 13:00:57,0,100,291,1,2024-10-07 13:00:58,R_3bUIB7mBcnFGnOV,anonymous,EN,1,1,2,2,Anonymized,100,100,90,100,90,90,90,2,28,2,NA,3,NA,5,NA,good,2,2,10,10,4,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:00:34,2024-10-07 13:01:12,0,100,37,1,2024-10-07 13:01:13,R_3aqweaYfk0i06Np,anonymous,EN,1,1,2,1,Anonymized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anonymized,NA,NA
2024-10-07 12:53:50,2024-10-07 13:02:05,0,100,494,1,2024-10-07 13:02:05,R_5r2lXDwnXJfWoXZ,anonymous,EN,0.8999999761581421,1,2,1,Anonymized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anonymized,NA,NA
2024-10-07 12:59:08,2024-10-07 13:02:05,0,100,177,1,2024-10-07 13:02:06,R_3WRKk2xYgzbKPAJ,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,30,0,100,3,36,2,NA,3,NA,8,,Character ai,1,2,14,3,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 12:55:30,2024-10-07 13:02:51,0,100,441,1,2024-10-07 13:02:52,R_6gUPOm7O45FWCJ1,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,0,0,0,1,34,2,NA,3,NA,2,NA,Alexa and Siri,2,1,10,1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:01:31,2024-10-07 13:03:26,0,100,115,1,2024-10-07 13:03:27,R_12AfUfc4oGJQPij,anonymous,EN,1,1,2,2,Anonymized,76,73,77,76,77,99,67,2,33,2,NA,3,NA,1,NA,I use multiple applications,3,3,2,15,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:00:13,2024-10-07 13:03:31,0,100,197,1,2024-10-07 13:03:31,R_7CjXSwL7kpFl8sA,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,61,12,100,3,22,2,NA,3,NA,1,NA,characterAI,1,2,18,12,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 13:02:42,2024-10-07 13:03:37,0,100,55,1,2024-10-07 13:03:38,R_3ltHzd2venvyT2V,anonymous,EN,1,1,2,1,Anonymized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anonymized,NA,NA
2024-10-07 13:02:02,2024-10-07 13:03:56,0,100,114,1,2024-10-07 13:03:57,R_1CrxDxeoVmh1L8g,anonymous,EN,NA,1,2,2,Anonymized,58,73,70,38,35,42,60,2,46,1,NA,3,NA,5,NA,Kuki,1,2,2,3,3,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 12:36:08,2024-10-07 13:03:58,0,100,1669,1,2024-10-07 13:03:58,R_3WNA19NitueATsT,anonymous,EN,1,1,2,2,Anonymized,40,30,20,20,40,30,60,3,49,1,NA,3,NA,5,NA,Gemini,3,4,8,1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 12:50:38,2024-10-07 13:04:22,0,100,823,1,2024-10-07 13:04:22,R_80STVL9xI9NMgFK,anonymous,EN,1,1,2,2,Anonymized,91,88,54,20,54,18,100,3,37,1,NA,4,NA,2,NA,Replica animia  and currently muahai,2,2,24,2,4,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 12:59:17,2024-10-07 13:04:29,0,100,312,1,2024-10-07 13:04:30,R_1LLBNi9wJ2KYIk9,anonymous,EN,1,1,2,2,Anonymized,82,70,85,61,78,64,92,2,55,1,NA,1,NA,5,NA,chatgpt,2,1,3,2,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:01:59,2024-10-07 13:04:48,0,100,168,1,2024-10-07 13:04:48,R_7Z0GjT8h0pbhreV,anonymous,EN,1,1,2,2,Anonymized,67,70,60,70,70,70,66,1,50,2,NA,3,NA,4,NA,nice,2,1,2,6,2,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:04:44,2024-10-07 13:05:10,0,100,25,1,2024-10-07 13:05:10,R_5wnkRllevYfB7NF,anonymous,EN,1,1,2,1,Anonymized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anonymized,NA,NA
2024-10-07 13:02:49,2024-10-07 13:05:18,0,100,148,1,2024-10-07 13:05:19,R_1JJWQEBDbw6bTz9,anonymous,EN,1,1,2,2,Anonymized,37,81,62,13,18,22,67,1,21,2,NA,4,NA,3,NA,Character AI,1,2,24,10,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:02:51,2024-10-07 13:06:18,0,100,206,1,2024-10-07 13:06:19,R_3Xd1rYgzVxoIDzI,anonymous,EN,1,1,2,2,Anonymized,9,8,40,0,29,19,99,3,60,2,NA,3,NA,4,NA,chat gpt,3,3,5,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 13:03:59,2024-10-07 13:06:33,0,100,154,1,2024-10-07 13:06:33,R_1DWxOfacDps6eOd,anonymous,EN,1,1,2,2,Anonymized,57,69,65,34,63,41,90,3,25,2,NA,3,NA,4,NA,Replika,1,4,12,2,3,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 13:04:11,2024-10-07 13:06:55,0,100,163,1,2024-10-07 13:06:55,R_5gtjh42CQaAQT34,anonymous,EN,1,1,2,2,Anonymized,74,84,12,81,21,77,96,1,36,2,NA,3,NA,4,NA,AI companion app,2,2,5,10,3,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:04:41,2024-10-07 13:09:03,0,100,262,1,2024-10-07 13:09:03,R_1Nt3CrtHtdINBGr,anonymous,EN,0.8999999761581421,1,2,2,Anonymized,29,100,77,98,100,75,100,2,31,4,,"1,3",NA,3,NA,Copilot chatgpt cortana,2,1,5,2,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 12:54:47,2024-10-07 13:09:28,0,100,881,1,2024-10-07 13:09:29,R_1e1U4ajRScnrbWB,anonymous,EN,1,1,2,2,Anonymized,50,50,50,50,50,50,81,2,51,2,NA,"1,6",,3,NA,Replika,1,4,36,0.5,2,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:05:13,2024-10-07 13:09:48,0,100,274,1,2024-10-07 13:09:48,R_6M53dCw1LExO9IQ,anonymous,EN,1,1,2,2,Anonymized,30,20,2,0,61,19,50,1,40,2,NA,4,NA,3,NA,chatGPT,1,1,6,0.5,2,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:06:00,2024-10-07 13:11:42,0,100,342,1,2024-10-07 13:11:43,R_53x9k6Xo9j6AGVG,anonymous,EN,1,1,2,2,Anonymized,33,63,62,37,59,46,29,2,28,2,NA,"2,3",NA,4,NA,ChatGPT,1,1,12,1,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:07:52,2024-10-07 13:11:55,0,100,243,1,2024-10-07 13:11:56,R_628VkDetE5aZhaS,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,10,40,90,3,19,1,NA,2,NA,3,NA,Character AI and ChatGPT,2,1,9,0.5,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 13:09:02,2024-10-07 13:12:02,0,100,180,1,2024-10-07 13:12:03,R_6GD7l5pu1tZ8Wuy,anonymous,EN,1,1,2,2,Anonymized,0,90,0,0,50,0,100,3,22,1,NA,"3,4",NA,1,NA,Gemini,3,3,1,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 13:11:55,2024-10-07 13:12:17,0,100,21,1,2024-10-07 13:12:17,R_5CHnwZ0pvTvpXmO,anonymous,EN,1,1,2,1,Anonymized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anonymized,NA,NA
2024-10-07 12:58:11,2024-10-07 13:12:21,0,100,849,1,2024-10-07 13:12:21,R_3eDku8UJLX0eh3V,anonymous,EN,1,1,2,2,Anonymized,88,79,81,78,75,78,79,2,66,2,NA,3,NA,5,NA,chatGPT,1,1,5,2,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 13:09:07,2024-10-07 13:12:28,0,100,200,1,2024-10-07 13:12:28,R_1Dur05Q8S5SUuvn,anonymous,EN,1,1,2,2,Anonymized,51,50,46,39,83,74,61,2,29,2,NA,3,NA,4,NA,Replika,2,1,1,1,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:06:39,2024-10-07 13:12:31,0,100,351,1,2024-10-07 13:12:31,R_1MoGTHemPDUSw5H,anonymous,EN,1,1,2,2,Anonymized,30,30,0,0,10,5,90,3,30,2,NA,3,NA,4,NA,I have used ChatGPT and Chai ai,3,1,3,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 13:09:19,2024-10-07 13:12:34,0,100,194,1,2024-10-07 13:12:35,R_5JDiA9IzCgn6cLf,anonymous,EN,1,1,2,2,Anonymized,30,8,20,7,20,20,71,3,31,2,NA,3,NA,3,NA,Character ai,2,1,14,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 13:06:22,2024-10-07 13:12:35,0,100,372,1,2024-10-07 13:12:35,R_7kzCpyFK91FI1eg,anonymous,EN,1,1,2,2,Anonymized,29,95,100,74,9,100,100,2,46,1,NA,1,NA,5,NA,chatting net,1,1,2,4,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:03:17,2024-10-07 13:13:04,0,100,587,1,2024-10-07 13:13:05,R_7EagNAyIg3MlTK2,anonymous,EN,1,1,2,2,Anonymized,90,80,0,40,49,45,100,2,36,1,NA,4,NA,8,,CharacterAI,1,1,17,0.5,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:09:24,2024-10-07 13:13:09,0,100,225,1,2024-10-07 13:13:10,R_74i6uXz9rwBzESV,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,0,0,58,1,31,2,NA,"3,4",NA,4,NA,Replika,2,1,24,1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:08:11,2024-10-07 13:13:27,0,100,315,1,2024-10-07 13:13:27,R_5Ryz3JiKrlVIOdT,anonymous,EN,1,1,2,2,Anonymized,60,55,79,50,60,86,70,1,30,1,NA,3,NA,5,NA,CHATGPT,1,2,2,2,4,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:11:15,2024-10-07 13:14:00,0,100,165,1,2024-10-07 13:14:01,R_3is4OI1InFu8llL,anonymous,EN,1,1,2,2,Anonymized,40,69,50,50,79,68,68,3,35,1,NA,4,NA,3,NA,ChatGPT,2,1,3,3,2,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 13:14:17,2024-10-07 13:14:48,0,100,30,1,2024-10-07 13:14:49,R_5jcXGK2WUKZPwP2,anonymous,EN,1,1,2,1,Anonymized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anonymized,NA,NA
2024-10-07 13:11:13,2024-10-07 13:14:50,0,100,216,1,2024-10-07 13:14:51,R_15KGE37SUE1sa0S,anonymous,EN,1,1,2,2,Anonymized,50,50,0,0,20,0,60,1,29,1,NA,3,NA,1,NA,Claude,1,1,18,2,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:13:05,2024-10-07 13:15:12,0,100,126,1,2024-10-07 13:15:12,R_1HeEDxFsRhFzRLI,anonymous,EN,1,1,2,2,Anonymized,30,30,0,0,5,0,10,1,53,1,NA,3,NA,4,NA,character ai,2,3,7,2,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:07:31,2024-10-07 13:15:13,0,100,461,1,2024-10-07 13:15:14,R_3wbWldKOXgJ2c7L,anonymous,EN,1,1,2,2,Anonymized,50,50,90,20,50,80,100,2,65,1,NA,4,NA,4,NA,chatbot,3,3,4,1,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:11:13,2024-10-07 13:15:44,0,100,271,1,2024-10-07 13:15:45,R_3Q99cNgy7fC5mpj,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,0,0,30,1,28,2,NA,3,NA,4,NA,SimSimi,2,3,4,1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:11:46,2024-10-07 13:16:27,0,100,280,1,2024-10-07 13:16:27,R_7XIfb5aKbaXVzDH,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,75,68,100,3,65,1,NA,3,NA,4,NA,ChatGPT Claude,2,3,6,1,2,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 13:14:50,2024-10-07 13:16:45,0,100,114,1,2024-10-07 13:16:45,R_5XzDuxfIVaeCc2R,anonymous,EN,1,1,2,2,Anonymized,64,77,41,71,34,39,72,2,18,2,NA,3,NA,1,NA,character ai,1,4,15,4,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:16:31,2024-10-07 13:17:15,0,100,44,1,2024-10-07 13:17:16,R_5MSYILvuQn07xCo,anonymous,EN,1,1,2,1,Anonymized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anonymized,NA,NA
2024-10-07 13:10:40,2024-10-07 13:17:51,0,100,430,1,2024-10-07 13:17:51,R_1FB8allcgkb6Ik9,anonymous,EN,1,1,2,2,Anonymized,26,78,24,0,77,27,92,2,20,1,NA,6,,3,NA,chat gpt,1,3,0,1,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:11:05,2024-10-07 13:18:22,0,100,436,1,2024-10-07 13:18:22,R_60vCEmyH1WaTEC8,anonymous,EN,1,1,2,2,Anonymized,17,11,9,20,38,0,99,3,24,2,NA,4,NA,3,NA,Replika,2,1,1,2,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 13:13:10,2024-10-07 13:18:34,0,100,324,1,2024-10-07 13:18:35,R_3FBn1pEwxQcocaR,anonymous,EN,1,1,2,2,Anonymized,51,53,0,0,0,0,61,1,28,2,NA,3,NA,1,NA,Snapchat AI,3,1,8,1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:16:38,2024-10-07 13:18:51,0,100,132,1,2024-10-07 13:18:51,R_5TLzcP0YqQZfZ7t,anonymous,EN,1,1,1,2,Anonymized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anonymized,NA,NA
2024-10-07 13:14:45,2024-10-07 13:18:52,0,100,246,1,2024-10-07 13:18:53,R_7F3pWqNrwM8GVm1,anonymous,EN,1,1,2,2,Anonymized,10,0,0,10,0,0,50,1,40,1,NA,3,NA,4,NA,Character AI,2,2,3,0.05,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:18:26,2024-10-07 13:18:58,0,100,32,1,2024-10-07 13:18:58,R_3OGCD9KyQD0TzIA,anonymous,EN,1,1,2,1,Anonymized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anonymized,NA,NA
2024-10-07 13:14:30,2024-10-07 13:19:09,0,100,279,1,2024-10-07 13:19:10,R_639lvxu4zv78T5X,anonymous,EN,1,1,2,2,Anonymized,54,61,0,8,39,19,72,2,38,2,NA,4,NA,3,NA,replika,2,1,6,3,2,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:16:14,2024-10-07 13:19:15,0,100,181,1,2024-10-07 13:19:16,R_5fgcTVb0iSxJtsb,anonymous,EN,1,1,2,2,Anonymized,17,26,11,12,66,81,80,3,51,2,NA,3,NA,2,NA,Replika,3,4,1,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 13:16:20,2024-10-07 13:20:00,0,100,220,1,2024-10-07 13:20:01,R_55Nt93KuZJSs93k,anonymous,EN,1,1,2,2,Anonymized,40,10,0,0,50,0,100,3,19,2,NA,3,NA,1,NA,Character ai,1,2,12,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 13:10:59,2024-10-07 13:20:46,0,100,586,1,2024-10-07 13:20:47,R_3hZ7QdMVADTSOYN,anonymous,EN,1,1,2,2,Anonymized,70,80,0,20,90,30,90,3,32,1,NA,1,NA,4,NA,Replika,3,1,8,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 13:21:04,2024-10-07 13:21:40,0,100,35,1,2024-10-07 13:21:40,R_53kXaLuFBI1wD4K,anonymous,EN,1,1,2,1,Anonymized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anonymized,NA,NA
2024-10-07 13:20:39,2024-10-07 13:22:36,0,100,117,1,2024-10-07 13:22:37,R_5gMaIZhwaM1clxf,anonymous,EN,1,1,2,2,Anonymized,93,89,94,90,90,89,100,2,34,1,NA,3,NA,5,NA,Replika,2,2,3,2,2,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:19:26,2024-10-07 13:22:49,0,100,203,1,2024-10-07 13:22:49,R_5YdMdY6xYTPaDHb,anonymous,EN,1,1,2,2,Anonymized,50,50,0,0,20,0,60,1,19,2,NA,3,NA,3,NA,Character AI,1,4,5,0.5,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:19:12,2024-10-07 13:23:56,0,100,283,1,2024-10-07 13:23:56,R_3KZXy6BQBjLvzQD,anonymous,EN,1,1,2,2,Anonymized,30,45,15,10,45,35,48,1,25,1,NA,3,NA,1,NA,Nomi,3,4,2,1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:06:49,2024-10-07 13:23:57,0,100,1027,1,2024-10-07 13:23:57,R_3cgEQuDwGn8qtbz,anonymous,EN,1,1,2,1,Anonymized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anonymized,NA,NA
2024-10-07 13:22:27,2024-10-07 13:24:34,0,100,126,1,2024-10-07 13:24:34,R_52QwWTOyF6pwVj8,anonymous,EN,0.20000000298023224,1,2,2,Anonymized,81,85,9,74,89,22,19,2,44,2,NA,3,NA,4,NA,AI companion app,1,1,5,6,3,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:16:19,2024-10-07 13:24:37,0,100,497,1,2024-10-07 13:24:37,R_6oBaqGm6aggpb5W,anonymous,EN,1,1,2,2,Anonymized,30,55,2,1,65,10,92,2,39,2,NA,1,NA,5,NA,Replika,3,1,3,1,2,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:16:51,2024-10-07 13:24:37,0,100,466,1,2024-10-07 13:24:38,R_7s1Fgc6eLTxmO5D,anonymous,EN,1,1,2,2,Anonymized,10,20,10,20,30,20,10,2,56,2,NA,3,NA,3,NA,Replika,2,1,3,1,2,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:22:19,2024-10-07 13:24:45,0,100,145,1,2024-10-07 13:24:45,R_1bcS8XDD7kYwAqR,anonymous,EN,1,1,2,2,Anonymized,52,56,9,4,23,23,65,1,30,2,NA,3,NA,3,NA,ChatGPT,3,3,6,1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 13:19:29,2024-10-07 13:25:36,0,100,366,1,2024-10-07 13:25:36,R_697BKi0LYo2nNVn,anonymous,EN,1,1,2,2,Anonymized,96,100,79,34,92,92,100,2,60,2,NA,3,NA,4,NA,Nomi,2,1,6,1,3,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 13:25:14,2024-10-07 13:25:51,0,100,37,1,2024-10-07 13:25:52,R_7OZuEotEuc8Y50Z,anonymous,EN,1,1,2,1,Anonymized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anonymized,NA,NA
2024-10-07 13:19:24,2024-10-07 13:26:39,0,100,435,1,2024-10-07 13:26:39,R_1m1qtoJnT6srqSC,anonymous,EN,1,1,2,2,Anonymized,43,29,36,0,6,12,67,1,24,2,NA,5,NA,3,NA,replika,2,1,3,0,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
